Bi-Mutual,Cascade,Clique,FBL,FFL,Fan-In,Fan-Out,Mutual-Cascade,Mutual-In,Mutual-Out,Regulated-Mutual,Regulating-Mutual,Semi-Clique,graph_id
1,5380,0,2,647,2621,243549,1,9,1216,0,219,0,381
1,6011,0,3,573,3513,243719,0,25,1469,0,51,0,382
2,5553,0,0,551,3380,243227,1,14,1865,0,103,0,436
1,6112,0,4,853,3358,243797,4,17,1159,2,17,1,384
0,5827,0,2,780,2818,244052,1,11,950,2,35,0,383
0,7040,0,4,755,3097,245059,0,9,37,1,0,0,385
0,7465,0,4,683,3464,245132,1,8,36,0,0,0,386
2,6275,0,1,523,3489,243823,0,4,1216,0,143,1,387
0,7288,0,3,742,3492,244489,2,10,601,0,9,0,388
0,6684,0,2,513,3528,244436,1,25,767,1,67,0,389
0,6790,0,2,568,3672,244456,0,7,818,0,5,0,393
0,6648,0,5,656,3505,244417,4,17,761,0,7,0,390
2,6062,0,1,509,3652,243704,4,32,1493,0,70,0,406
0,7125,0,6,562,3700,244728,0,2,542,0,10,0,395
1,6031,0,1,623,3066,243983,1,2,1086,0,79,0,391
0,7307,0,2,631,3430,245148,0,16,73,0,0,0,438
3,5441,0,1,667,2825,243234,2,5,1880,0,33,0,397
1,6523,0,3,601,3270,243723,2,11,1407,0,59,0,396
1,6398,0,2,806,3439,244009,4,3,1012,2,9,0,392
0,7389,0,3,786,3357,245014,0,18,43,1,4,0,411
0,6643,0,4,533,3674,244268,0,22,976,1,37,0,398
0,6984,0,5,541,3663,244594,0,6,623,0,47,0,409
0,6669,0,7,666,3579,244317,1,7,834,0,17,0,412
0,6765,0,3,587,3362,244684,1,4,566,2,6,0,394
0,6717,0,4,527,3536,244549,2,22,708,2,32,0,401
0,7313,0,5,676,3551,245034,0,15,139,0,3,0,402
0,6945,0,2,660,3212,244494,1,15,595,2,50,0,403
0,6418,0,3,503,3574,244259,0,8,973,1,58,0,405
0,6841,0,3,510,3621,244541,0,4,613,0,94,0,399
0,6518,0,1,601,3582,244179,0,11,1052,0,10,0,420
2,5138,0,5,491,3196,242987,2,26,1930,2,217,2,427
0,7017,0,2,547,3462,244960,0,12,337,0,4,0,415
0,7010,0,4,836,3106,244834,0,1,174,0,4,0,410
0,7259,0,1,776,3466,244849,0,0,219,0,4,0,425
0,7534,0,4,567,3443,244766,2,6,513,0,2,0,421
1,6113,0,4,532,3463,243929,2,15,1223,1,82,0,413
0,5885,0,1,581,3463,243723,1,15,1415,0,65,1,418
1,6502,0,5,470,3627,244136,1,4,1068,0,88,0,407
0,6291,0,2,692,3212,244132,0,14,817,3,104,0,408
0,7094,0,1,555,3648,244753,3,7,533,0,4,0,426
0,6852,0,3,742,3063,244782,1,4,310,1,8,0,404
0,6905,0,4,749,3433,244719,1,7,374,1,4,0,419
2,5657,0,0,655,3372,243255,0,11,1724,2,107,0,417
0,7232,0,2,593,3555,244981,1,22,269,0,4,0,423
3,6085,0,4,462,3672,243834,1,52,1435,1,57,1,414
0,6490,0,2,507,3485,244217,0,15,932,0,98,0,422
1,5394,0,1,593,2969,244673,0,6,585,0,0,0,400
2,5615,0,0,455,3290,243524,1,16,1578,0,146,0,424
0,6832,0,2,542,3400,244773,0,3,521,0,8,0,432
