assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.1305,-0.0091,0.0026,-0.0012,0.6125,0.8528,16.4185,1.731,2.1056,0.0008761,4,4,76929,9371,247
-0.1037,-0.0068,-0.1713,-0.007,0.6189,0.8274,16.4185,1.7023,2.0822,0.0008761,3,4,76929,9371,175
-0.1602,-0.0063,0.0068,-0.0015,0.6574,0.852,16.4185,1.7194,2.0906,0.0008761,4,4,76929,9371,194
-0.137,-0.0075,-0.0164,-0.0073,0.6025,0.8471,16.4185,1.7397,2.0808,0.0008761,4,4,76929,9371,249
-0.0637,-0.0029,-0.0009,-0.0008,0.6326,0.8528,16.4185,1.7439,2.0773,0.0008761,4,4,76929,9371,187
-0.0816,-0.0052,-0.0647,-0.0058,0.6362,0.8708,16.4185,1.7194,2.0888,0.0008761,4,4,76929,9371,235
-0.0958,-0.0039,-0.0257,0.0089,0.6177,0.8291,16.4185,1.7378,2.0964,0.0008761,4,4,76929,9371,204
-0.1983,-0.0035,0.0456,0.0012,0.6918,0.8448,16.4185,1.721,2.083,0.0008761,3,4,76929,9371,244
-0.138,-0.0103,-0.0992,0.0001,0.6765,0.8337,16.4185,1.7201,2.1055,0.0008761,4,4,76929,9371,218
-0.0231,-0.0027,-0.0984,-0.0067,0.616,0.8318,16.4185,1.6955,2.0985,0.0008761,4,4,76929,9371,153
-0.0757,-0.004,-0.0891,-0.002,0.6274,0.8519,16.4185,1.72,2.0816,0.0008761,3,4,76929,9371,182
-0.1635,-0.0037,-0.0823,-0.0035,0.5991,0.8191,16.4185,1.7069,2.0739,0.0008761,4,4,76929,9371,172
-0.1109,-0.005,-0.1453,-0.0079,0.639,0.853,16.4185,1.7085,2.0823,0.0008761,4,4,76929,9371,179
-0.097,-0.0036,0.0236,-0.0012,0.5968,0.8389,16.4185,1.7264,2.0836,0.0008761,4,4,76929,9371,159
-0.1754,-0.0035,0.1226,0.002,0.6037,0.8221,16.4185,1.7576,2.0821,0.0008761,4,4,76929,9371,220
-0.1938,-0.0056,0.0097,0.0009,0.6328,0.857,16.4185,1.711,2.053,0.0008761,4,4,76929,9371,185
-0.1147,-0.0053,-0.0354,-0.0017,0.6427,0.8506,16.4185,1.6984,2.0874,0.0008761,4,4,76929,9371,180
